1 2
-1.570796 0.000000 -1.079923 
0.000000 0.471397 -0.881921 
-2.356194 0.773010 -0.634393 
0.000000 -0.707107 -0.707107 
-0.196350 0.195090 -0.980785 
0.000000 0.831470 -0.555570 
-1.082990 0.980785 -0.195090 
0.000000 0.956940 -0.290285 
-2.748894 0.771060 -0.636762 
0.000000 0.468689 -0.883363 
-1.276272 -0.709273 -0.704934 
0.000000 0.555570 -0.831470 
-3.043418 -0.923880 -0.382683 
0.000000 0.098017 -0.995185 
-0.687223 -0.555570 -0.831469 
0.000000 0.290285 -0.956940 
-1.086058 -0.881921 -0.471397 
0.000000 0.192080 -0.981379 
-0.297592 -0.995185 -0.098017 
0.000000 0.829761 -0.558118 
-0.693359 0.471397 -0.881921 
0.000000 0.773010 -0.634393 
-1.178097 0.980182 -0.198098 
0.000000 -0.634393 -0.773010 
-2.653787 0.465976 -0.884797 
0.000000 -0.195090 -0.980785 
-0.984816 -0.711432 -0.702755 
0.000000 0.956045 -0.293219 
-1.475690 1.000000 -0.000000 
0.000000 -0.558119 -0.829761 
-2.365398 0.769103 -0.639124 
0.000000 -0.290285 -0.956940 
-0.595185 0.382683 -0.923880 
0.000000 0.382683 -0.923880 
-1.668971 -0.925049 -0.379847 
0.000000 0.000000 -1.000000 
-0.392699 -0.883363 -0.468689 
0.000000 -0.995481 -0.094963 
-0.300660 -0.634393 -0.773010 
0.000000 0.553017 -0.833170 
-2.261088 0.000000 -1.000000 
0.000000 -0.636762 -0.771060 
-0.696427 0.094963 -0.995481 
0.000000 -1.089126 -0.980182 
-0.003068 0.287347 -0.957826 
0.000000 -0.713585 -0.700569 
-1.773282 1.000000 -0.000000 
0.000000 0.189069 -0.981964 
-0.987884 0.828045 -0.560661 
0.000000 0.468689 -0.883363 
-2.169049 -0.926210 -0.377007 
0.000000 -0.098017 -0.995185 
-1.383651 0.771060 -0.636762 
0.000000 -0.560661 -0.828045 
-1.576932 0.923880 -0.382683 
0.000000 -0.293219 -0.956045 
-0.598253 0.979570 -0.201105 
0.000000 0.955141 -0.296151 
-1.129010 -0.003068 -0.999995 
0.000000 -0.395767 -0.465976 
-0.205553 -0.636762 -0.771060 
0.000000 -0.003068 -0.999995 
-1.184233 0.999995 -0.003068 
0.000000 0.767139 -0.641481 
-1.776350 -0.995767 -0.091909 
0.000000 0.463260 -0.886223 
-2.797981 0.999995 -0.003068 
0.000000 -0.639124 -0.769103 
-0.736311 0.379847 -0.925049 
0.000000 -0.201105 -0.979570 
-1.874525 0.379847 -0.925049 
0.000000 -0.740951 -0.671559 
-1.580000 0.550458 -0.834863 
0.000000 -0.927363 -0.374164 
-1.184233 -0.101070 -0.994879 
0.000000 -0.990952 -0.826321 
-2.699806 0.091909 -0.995767 
0.000000 0.284407 -0.958703 
-0.398835 0.186055 -0.982539 
0.000000 -0.296151 -0.955141 
-2.307107 -0.923880 -0.382683 
0.000000 -0.006136 -0.999981 
-1.816233 0.465976 -0.884797 
0.000000 -1.423534 -0.769103 
-2.801049 0.826321 -0.563199 
0.000000 -0.006136 -0.999981 
-0.009204 0.769103 -0.639124 
0.000000 0.427555 -0.903989 
-0.739379 -0.923880 -0.382683 
0.000000 0.922701 -0.385516 
-2.755030 0.978948 -0.204109 
0.000000 -0.886223 -0.463260 
-1.619884 0.954228 -0.299080 
0.000000 0.377007 -0.926210 
-2.307107 -0.996045 -0.088854 
0.000000 -0.641481 -0.767139 
-1.619884 -0.204109 -0.978948 
0.000000 -0.401903 -0.669282 
-1.521709 0.999981 -0.006136 
0.000000 -0.941544 -0.336890 
-0.294524 -0.104122 -0.994565 
0.000000 -0.785398 -0.803207 
-2.850136 0.740951 -0.671559 
0.000000 0.999981 -0.006136 
-0.346680 -0.995185 -0.098017 
0.000000 -0.299080 -0.954228 
-1.718059 0.803207 -0.595699 
0.000000 -0.925049 -0.379847 
-2.414486 -0.009204 -0.999958 
0.000000 -1.426602 -0.767139 
-2.650719 -0.009204 -0.999958 
0.000000 0.377007 -0.926210 
-0.049087 -0.925049 -0.379847 
0.000000 0.547894 -0.836548 
-1.917476 -0.903989 -0.427555 
0.000000 0.767139 -0.641481 
-0.000000 0.088854 -0.996045 
0.000000 0.921514 -0.388345 
-1.622952 -0.956940 -0.290285 
0.000000 -0.998795 -0.049068 
-0.098175 -0.671559 -0.740951 
0.000000 0.970031 -0.242980 
-2.313243 -0.745058 -0.667000 
0.000000 -2.853204 -0.970031 
-1.721126 0.281465 -0.959571 
0.000000 0.146730 -0.989177 
-2.948311 -0.942573 -0.334000 
0.000000 -0.294524 -0.994240 
-2.356194 0.941544 -0.336890 
0.000000 0.999958 -0.009204 
-0.049087 -0.995481 -0.094963 
0.000000 0.463260 -0.886223 
-2.552544 0.738887 -0.673829 
0.000000 0.424780 -0.905297 
-0.739379 0.374164 -0.927363 
0.000000 -0.926210 -0.377007 
-1.920544 -0.598161 -1.033903 
0.000000 -0.336890 -0.941544 
-1.626020 -0.049068 -0.998795 
0.000000 0.999958 -0.009204 
-3.052622 0.374164 -0.927363 
0.000000 -2.797981 -0.740951 
-0.297592 0.801376 -0.598161 
0.000000 0.514103 -0.857729 
-1.626020 -0.049068 -0.998795 
0.000000 0.740951 -0.671559 
-2.316311 0.920318 -0.391170 
0.000000 0.049068 -0.998795 
-1.429670 -0.926210 -0.377007 
0.000000 -0.673829 -0.738887 
-2.856272 0.956940 -0.290285 
0.000000 -0.905297 -0.424780 
-3.101709 0.707107 -0.707107 
0.000000 -0.957826 -0.287347 
-2.454369 0.969281 -0.245955 
0.000000 -0.998941 -0.046003 
-0.687223 0.940506 -0.339777 
0.000000 -0.980785 -0.195090 
-2.951379 -0.245955 -0.969281 
0.000000 -0.146730 -0.989177 
-1.966563 0.242980 -0.970031 
0.000000 -1.475690 -0.799537 
-1.672039 -0.747101 -0.664711 
0.000000 -0.943593 -0.331106 
-1.079923 0.143695 -0.989622 
0.000000 -0.881921 -0.471397 
-0.395767 0.634393 -0.773010 
0.000000 -0.995767 -0.091909 
-0.101243 0.998795 -0.049068 
0.000000 0.427555 -0.903989 
-1.230253 0.736816 -0.676093 
0.000000 -0.339777 -0.940506 
-0.589049 -0.052132 -0.998640 
0.000000 0.098017 -0.995185 
-1.868389 1.000000 -0.000000 
0.000000 -0.673829 -0.738887 
-2.801049 0.422000 -0.906596 
0.000000 -1.230253 -0.998640 
-2.662991 0.923880 -0.382683 
0.000000 -0.927363 -0.374164 
-1.036971 0.995185 -0.098017 
0.000000 -0.927363 -0.374164 
-3.055690 -0.906596 -0.422000 
0.000000 -0.676093 -0.736816 
-2.175185 -0.248928 -0.297592 
0.000000 -0.958703 -0.284407 
-1.527845 -0.149764 -0.988722 
0.000000 -0.999078 -0.042938 
-0.052155 -0.603067 -0.797691 
0.000000 -0.981379 -0.192080 
-0.493942 -0.715731 -0.698376 
0.000000 0.956940 -0.290285 
-2.356194 -0.707107 -0.707107 
0.000000 0.336890 -0.941544 
-1.877593 0.471397 -0.881921 
0.000000 0.998795 -0.049068 
-1.432738 0.336890 -0.941544 
0.000000 0.881921 -0.471397 
-0.300660 -0.831469 -0.555570 
0.000000 0.799537 -0.600616 
-0.742447 -0.382683 -0.923880 
0.000000 0.738887 -0.673829 
-1.377515 -0.098017 -0.995185 
0.000000 -0.944605 -0.328210 
-0.254641 -0.342661 -0.939459 
0.000000 0.511469 -0.859302 
-0.055223 -0.883363 -0.468689 
0.000000 -0.055195 -0.998476 
-2.804117 0.903989 -0.427555 
0.000000 -1.135146 -0.736816 
-2.666059 -0.996045 -0.088854 
0.000000 0.046003 -0.998941 
-2.362330 -0.941544 -0.336890 
0.000000 0.956045 -0.293219 
-3.058758 -0.707107 -0.707107 
0.000000 0.704934 -0.709273 
-1.782486 -0.055195 -0.998476 
0.000000 0.240003 -0.970772 
-1.865321 -0.290285 -0.956940 
0.000000 -0.678350 -0.734739 
-0.699495 -0.941544 -0.336890 
0.000000 -0.251898 -0.967754 
-0.098175 0.140658 -0.990058 
0.000000 -0.907886 -0.419217 
-1.092194 -0.152797 -0.988258 
0.000000 -0.959571 -0.281465 
-1.233321 0.968522 -0.248928 
0.000000 0.939459 -0.342661 
-1.972699 -0.999205 -0.039873 
0.000000 0.195090 -0.980785 
-1.880661 0.998640 -0.052132 
0.000000 -0.773010 -0.634393 
-1.586136 0.632019 -0.774953 
0.000000 0.424780 -0.905297 
-2.273360 0.773010 -0.634393 
0.000000 -0.980785 -0.195090 
-1.586136 0.734739 -0.678350 
0.000000 -0.981964 -0.189069 
-0.300660 0.999995 -0.003068 
0.000000 -0.565732 -0.824589 
-0.687223 -0.385516 -0.922701 
0.000000 -0.717870 -0.696177 
-2.807185 0.094963 -0.995481 
0.000000 -0.101070 -0.994879 
-1.334563 -0.709273 -0.704934 
0.000000 -2.902292 -0.938404 
-1.874525 0.471397 -0.881921 
0.000000 0.419217 -0.907886 
-1.966563 -0.928506 -0.371317 
0.000000 0.922701 -0.385516 
-2.067806 -0.833170 -0.553017 
0.000000 -0.058258 -0.998302 
-2.365398 0.994879 -0.101070 
0.000000 -0.884797 -0.465976 
-2.954447 -0.678350 -0.734739 
0.000000 0.334000 -0.942573 
-1.868389 -0.998795 -0.049068 
0.000000 -0.058258 -0.998302 
-1.576932 0.831470 -0.555570 
0.000000 -0.942573 -0.334000 
-2.181321 -0.382683 -0.892777 
0.000000 -0.293219 -0.956045 
-0.883573 -0.709273 -0.447922 
0.000000 -0.471397 -0.881921 
-1.138214 -0.942573 -0.334000 
0.000000 0.468689 -0.883363 
-3.101709 0.334000 -0.942573 
0.000000 -0.887640 -0.460539 
-1.718059 -0.643831 -0.765167 
0.000000 -0.207111 -0.978317 
-1.178097 0.508830 -0.860867 
0.000000 -0.970031 -0.242980 
-2.276428 0.000000 -1.481825 
0.000000 -0.996313 -0.085797 
-0.208621 -0.155828 -0.987784 
0.000000 -0.774953 -0.632019 
-2.405282 -0.568259 -0.822850 
0.000000 0.956045 -0.293219 
-2.162913 -0.388345 -0.921514 
0.000000 0.042938 -0.999078 
-1.914408 -0.981379 -0.192080 
0.000000 -1.095262 -0.994565 
-1.969631 0.998640 -0.052132 
0.000000 -0.982539 -0.186055 
-1.236389 0.702755 -0.711432 
0.000000 0.880471 -0.474100 
-0.693359 -0.720002 -0.693971 
0.000000 0.797691 -0.603067 
-0.702563 -0.707107 -0.707107 
0.000000 0.237023 -0.971504 
-1.089126 0.902673 -0.430326 
0.000000 -0.302006 -0.953306 
-0.101243 -0.012272 -0.999925 
0.000000 -0.929641 -0.368467 
-2.365398 0.137620 -0.990485 
0.000000 -0.711432 -0.702755 
-1.484893 -0.643831 -0.765167 
0.000000 0.955141 -0.296151 
-2.420622 -0.834863 -0.550458 
0.000000 -0.012272 -0.999925 
-0.834486 0.736816 -0.676093 
0.000000 -0.886223 -0.463260 
-0.595185 -0.385516 -0.922701 
